8,5,0.0929328
10,9,0.0858587
9,8,0.0858587
66,49,0.0804094
8,30,0.0794373
38,37,0.0689996
11,12,0.0581044
89,92,0.0568351
105,108,0.0552293
30,38,0.0546414
100,103,0.0539975
104,105,0.0537273
65,66,0.0531515
30,17,0.0528203
5,11,0.0472801
94,100,0.0468301
82,77,0.043747
92,94,0.0425204
92,93,0.042458
108,109,0.0403719
6,7,0.0384287
93,94,0.0381917
54,56,0.0376859
4,11,0.0366315
56,55,0.035498
77,78,0.0322443
103,105,0.0309456
77,75,0.0302965
25,23,0.0297522
26,30,0.0280243
37,34,0.0272535
109,110,0.0255144
12,14,0.0246359
49,51,0.0245532
65,64,0.0238457
96,82,0.0238045
5,4,0.0236811
61,60,0.0236753
12,2,0.0234339
62,60,0.0229197
103,104,0.0227182
7,12,0.0227132
83,82,0.0222476
17,15,0.0220613
105,106,0.0219735
26,25,0.0219634
49,47,0.0213347
110,112,0.0208474
94,96,0.0207701
49,50,0.0201972
85,83,0.0195147
15,19,0.0194837
32,114,0.0194289
100,104,0.0184286
34,36,0.0177857
37,39,0.01761
49,54,0.0173163
80,77,0.0165789
64,61,0.0160124
27,32,0.0159306
23,32,0.015812
31,29,0.0157406
60,59,0.0151791
5,6,0.0151368
75,118,0.0151221
65,38,0.0143582
40,41,0.0143456
47,46,0.0142401
32,31,0.0141864
25,27,0.0141745
49,48,0.0140054
92,100,0.0137724
61,62,0.0131164
85,84,0.0131126
92,102,0.0128825
59,54,0.0126285
11,13,0.0126042
50,57,0.0125306
45,44,0.012396
89,85,0.0122845
51,58,0.0122647
46,45,0.0121743
14,15,0.0118425
66,67,0.0115524
49,42,0.0114998
17,18,0.0110941
37,35,0.011076
12,3,0.0109984
12,16,0.0109862
39,40,0.0107812
59,56,0.0107197
69,49,0.0106085
54,55,0.0101827
80,97,0.0100925
61,59,0.0100629
89,88,0.00971716
49,45,0.00964313
23,22,0.00930063
15,33,0.0091229
2,1,0.00905597
54,53,0.0087766
3,1,0.00876023
27,28,0.00865676
114,115,0.00857591
77,76,0.00856571
37,40,0.00849031
103,110,0.00815606
97,96,0.0081059
69,77,0.00808788
57,56,0.00798153
67,62,0.00791427
66,62,0.00783855
64,63,0.00783331
63,59,0.00783331
51,52,0.00782802
75,74,0.00781155
58,56,0.00780427
84,83,0.00777581
118,76,0.00731058
69,75,0.00716672
88,85,0.00711077
22,21,0.00697547
17,31,0.00694589
5,3,0.00683478
75,70,0.00671802
12,117,0.0065737
94,95,0.00655594
102,101,0.00627567
106,107,0.00595457
105,107,0.00595457
42,40,0.00550205
34,43,0.00546155
18,19,0.00536951
42,41,0.00532774
80,79,0.00524432
13,15,0.00518075
80,96,0.00509784
111,110,0.00480869
100,106,0.00478967
27,115,0.00476841
21,20,0.00465032
37,33,0.00456975
59,55,0.0042789
28,29,0.00422164
44,43,0.00373938
52,53,0.00336754
100,98,0.00309372
17,16,0.00305401
96,95,0.00300618
101,100,0.00297789
85,86,0.00295705
48,46,0.00286011
69,70,0.00281664
89,90,0.00281424
69,47,0.00279447
70,74,0.00273543
79,78,0.00262216
20,19,0.00232516
80,98,0.0017097
34,19,0.00146462
87,86,0.000903299
100,99,0
92,91,0
90,91,0
81,68,0
80,99,0
80,81,0
71,73,0
71,72,0
70,71,0
70,24,0
69,68,0
68,116,0
65,68,0
35,36,0
32,113,0
24,72,0
23,24,0
17,113,0
